2025-09-13 16:13:13 [DEBUG   ] GABAssetMind.PortfolioManager.models.get_current_assets_only:458 - current_assets_only: input_rows=47 output_rows=44
2025-09-13 16:13:13 [DEBUG   ] GABAssetMind.PortfolioManager.models.load_data:152 - load_data: columns=['id', 'category', 'position', 'asset_name', 'isin', 'ticker', 'risk_level', 'created_at', 'created_amount', 'created_unit_price', 'created_total_value', 'updated_at', 'updated_amount', 'updated_unit_price', 'updated_total_value', 'accumulation_plan', 'accumulation_amount', 'income_per_year', 'rental_income', 'note', 'riskLevel', 'createdAt', 'createdAmount', 'updatedAt', 'updatedAmount'] rows=47
2025-09-13 16:13:13 [ERROR   ] GABAssetMind.DateManager.date_utils.format_for_storage:171 - Errore formatting data per storage: Anno 1989 fuori dal range valido (1990-2050)
2025-09-13 16:13:13 [ERROR   ] GABAssetMind.DateManager.date_utils.format_for_storage:171 - Errore formatting data per storage: Anno 1989 fuori dal range valido (1990-2050)
2025-09-13 16:13:13 [DEBUG   ] GABAssetMind.main.main._load_portfolio_data:216 - Inizio caricamento dati portfolio
2025-09-13 16:13:13 [DEBUG   ] GABAssetMind.main.main._load_portfolio_data:217 - Portfolio table exists: True
2025-09-13 16:13:13 [DEBUG   ] GABAssetMind.main.main._load_portfolio_data:229 - Caricando solo asset correnti
2025-09-13 16:13:13 [DEBUG   ] GABAssetMind.PortfolioManager.models.load_data:152 - load_data: columns=['id', 'category', 'position', 'asset_name', 'isin', 'ticker', 'risk_level', 'created_at', 'created_amount', 'created_unit_price', 'created_total_value', 'updated_at', 'updated_amount', 'updated_unit_price', 'updated_total_value', 'accumulation_plan', 'accumulation_amount', 'income_per_year', 'rental_income', 'note', 'riskLevel', 'createdAt', 'createdAmount', 'updatedAt', 'updatedAmount'] rows=47
2025-09-13 16:13:13 [ERROR   ] GABAssetMind.DateManager.date_utils.format_for_storage:171 - Errore formatting data per storage: Anno 1989 fuori dal range valido (1990-2050)
2025-09-13 16:13:13 [ERROR   ] GABAssetMind.DateManager.date_utils.format_for_storage:171 - Errore formatting data per storage: Anno 1989 fuori dal range valido (1990-2050)
2025-09-13 16:13:13 [DEBUG   ] GABAssetMind.PortfolioManager.models.get_current_assets_only:458 - current_assets_only: input_rows=47 output_rows=44
2025-09-13 16:13:13 [DEBUG   ] GABAssetMind.main.main._load_portfolio_data:232 - Dati caricati: 44 righe
